# time, flux
8.000000000000000167e-03,7.680001955489893506e-01
1.600000000000000033e-02,1.341295709807883263e+00
2.400000000000000050e-02,1.818062160211757039e+00
3.200000000000000067e-02,2.294425276338219799e+00
4.000000000000000083e-02,2.722552401703874914e+00
4.800000000000000100e-02,3.126248996605431874e+00
5.600000000000000117e-02,3.494009594997853352e+00
6.400000000000000133e-02,3.837872706997119909e+00
7.200000000000000844e-02,4.152556805355695602e+00
8.000000000000001554e-02,4.445830591695590250e+00
8.800000000000002265e-02,4.714787493370607763e+00
9.600000000000002975e-02,4.965040175231407282e+00
1.040000000000000369e-01,5.194810383431074818e+00
1.120000000000000440e-01,5.408407139216098614e+00
1.200000000000000511e-01,5.604657045331730814e+00
1.280000000000000582e-01,5.786993879097596327e+00
1.360000000000000653e-01,5.954592880039931480e+00
1.440000000000000724e-01,6.110259147849464334e+00
1.520000000000000795e-01,6.253378800536778748e+00
1.600000000000000866e-01,6.386284052986279214e+00
1.680000000000000937e-01,6.508493098859060133e+00
1.760000000000001008e-01,6.621970646050995057e+00
1.840000000000001079e-01,6.726319944136385232e+00
1.920000000000001150e-01,6.823213192997569898e+00
2.000000000000001221e-01,6.912309824097199851e+00
2.080000000000001292e-01,6.995045006727993453e+00
2.160000000000001363e-01,7.071116280855522795e+00
2.240000000000001434e-01,7.141764055638274655e+00
2.320000000000001505e-01,7.206712533410102317e+00
2.400000000000001577e-01,7.267040319401887771e+00
2.480000000000001648e-01,7.322490989420018970e+00
2.560000000000001719e-01,7.374007505882373081e+00
2.640000000000001790e-01,7.421348178243286853e+00
2.720000000000001861e-01,7.465341390360088702e+00
2.800000000000001932e-01,7.505757251802764429e+00
2.880000000000002003e-01,7.543326720196901647e+00
2.960000000000002074e-01,7.577829878584713796e+00
3.040000000000002145e-01,7.609914349809784540e+00
3.120000000000002216e-01,7.639369085502002221e+00
3.200000000000002287e-01,7.666770030341135467e+00
3.280000000000002358e-01,7.691914373135732674e+00
3.360000000000002429e-01,7.715316071713970381e+00
3.440000000000002500e-01,7.736780235093069003e+00
3.520000000000002571e-01,7.756766917608543643e+00
3.600000000000002642e-01,7.775089046353780731e+00
3.680000000000002713e-01,7.792159522255108328e+00
3.760000000000002784e-01,7.807799144144444980e+00
3.840000000000002855e-01,7.822379288302640177e+00
3.920000000000002927e-01,7.835728804316688390e+00
4.000000000000002998e-01,7.848182214189773021e+00
4.080000000000003069e-01,7.859576713363952472e+00
4.160000000000003140e-01,7.870213804767312027e+00
4.240000000000003211e-01,7.879939448436679150e+00
4.320000000000003282e-01,7.889025218038482556e+00
4.400000000000003353e-01,7.897326402807144596e+00
4.480000000000003424e-01,7.905087051781743313e+00
4.560000000000003495e-01,7.912172530299192985e+00
4.640000000000003566e-01,7.918801114809189023e+00
4.720000000000003637e-01,7.924849227613731451e+00
4.800000000000003708e-01,7.930510477211768716e+00
4.880000000000003779e-01,7.935673626892233656e+00
4.960000000000003850e-01,7.940508050865308753e+00
5.040000000000003366e-01,7.944916531105568502e+00
5.120000000000003437e-01,7.949043914700942182e+00
5.200000000000003508e-01,7.952809190899803760e+00
5.280000000000003579e-01,7.956331567793262671e+00
5.360000000000003650e-01,7.959549092576086338e+00
5.440000000000003721e-01,7.962553266437493171e+00
5.520000000000003793e-01,7.965304902160731615e+00
5.600000000000003864e-01,7.967864578389698416e+00
5.680000000000003935e-01,7.970220689419162063e+00
5.760000000000004006e-01,7.972398267714975617e+00
5.840000000000004077e-01,7.974419537669949598e+00
5.920000000000004148e-01,7.976267606749400940e+00
6.000000000000004219e-01,7.978006629849460296e+00
6.080000000000004290e-01,7.979569197032506445e+00
6.160000000000004361e-01,7.981071888098126621e+00
6.240000000000004432e-01,7.982385368313005714e+00
6.320000000000004503e-01,7.983692232743538675e+00
6.400000000000004574e-01,7.984786213419920564e+00
6.480000000000004645e-01,7.985933516598971771e+00
6.560000000000004716e-01,7.986831306481286141e+00
6.640000000000004787e-01,7.987852181496040593e+00
6.720000000000004858e-01,7.988571142124819779e+00
6.800000000000004929e-01,7.989496675397347758e+00
6.880000000000005000e-01,7.990048323132111108e+00
6.960000000000005071e-01,7.990908659455462804e+00
7.040000000000005143e-01,7.991298512514800834e+00
7.120000000000005214e-01,7.992124023754172413e+00
7.200000000000005285e-01,7.992351151381748231e+00
7.280000000000005356e-01,7.993173716087410341e+00
7.360000000000005427e-01,7.993229923564475925e+00
