# position, velocity
0.000000000000000000e+00,-7.101270533242302983e-04
1.010101010101010187e-02,4.801698556150639785e-01
2.020202020202020374e-02,9.488696712151887258e-01
3.030303030303030387e-02,1.409156982237526057e+00
4.040404040404040747e-02,1.859727566585966718e+00
5.050505050505051108e-02,2.300312774173854269e+00
6.060606060606060774e-02,2.730976714461379018e+00
7.070707070707071829e-02,3.151865224967922874e+00
8.080808080808081495e-02,3.562950268989007796e+00
9.090909090909091161e-02,3.964273752155444086e+00
1.010101010101010222e-01,4.355762686123075156e+00
1.111111111111111188e-01,4.737555884564514486e+00
1.212121212121212155e-01,5.109430639762326365e+00
1.313131313131313260e-01,5.471628919472513175e+00
1.414141414141414366e-01,5.823978622694169438e+00
1.515151515151515194e-01,6.166546042230734770e+00
1.616161616161616299e-01,6.499293898234412836e+00
1.717171717171717404e-01,6.822351815597361480e+00
1.818181818181818232e-01,7.135516219948278227e+00
1.919191919191919338e-01,7.438971702559591392e+00
2.020202020202020443e-01,7.732526015107474393e+00
2.121212121212121271e-01,8.016394727443973522e+00
2.222222222222222376e-01,8.290396033326853598e+00
2.323232323232323482e-01,8.554696508498810914e+00
2.424242424242424310e-01,8.809134433855343005e+00
2.525252525252525415e-01,9.053864884601619423e+00
2.626262626262626521e-01,9.288684545393067538e+00
2.727272727272727626e-01,9.513758409533124905e+00
2.828282828282828731e-01,9.729097909902357344e+00
2.929292929292929282e-01,9.934671556072711240e+00
3.030303030303030387e-01,1.013036069684608975e+01
3.131313131313131493e-01,1.031632953495340566e+01
3.232323232323232598e-01,1.049246373982893132e+01
3.333333333333333703e-01,1.065881008019393583e+01
3.434343434343434809e-01,1.081539709630375867e+01
3.535353535353535914e-01,1.096219835337719317e+01
3.636363636363636465e-01,1.109914983303641733e+01
3.737373737373737570e-01,1.122643013086551989e+01
3.838383838383838675e-01,1.134377989848707458e+01
3.939393939393939781e-01,1.145146103932428261e+01
4.040404040404040886e-01,1.154927696970976214e+01
4.141414141414141992e-01,1.163729874572054968e+01
4.242424242424242542e-01,1.171565649419480870e+01
4.343434343434343647e-01,1.178416278742301593e+01
4.444444444444444753e-01,1.184292144264738766e+01
4.545454545454545858e-01,1.189179230298147161e+01
4.646464646464646964e-01,1.193093491243782545e+01
4.747474747474748069e-01,1.196026493296092497e+01
4.848484848484848619e-01,1.197987896229764182e+01
4.949494949494949725e-01,1.198950775774762789e+01
5.050505050505050830e-01,1.198955613472706005e+01
5.151515151515152491e-01,1.197975925097349759e+01
5.252525252525253041e-01,1.196014358133453825e+01
5.353535353535353591e-01,1.193086947204779413e+01
5.454545454545455252e-01,1.189167972961443454e+01
5.555555555555555802e-01,1.184274737677299250e+01
5.656565656565657463e-01,1.178399080823396083e+01
5.757575757575758013e-01,1.171552205250631395e+01
5.858585858585858563e-01,1.163727352475601151e+01
5.959595959595960224e-01,1.154917547135917566e+01
6.060606060606060774e-01,1.145120839886322273e+01
6.161616161616162435e-01,1.134356645571248556e+01
6.262626262626262985e-01,1.122613045299969592e+01
6.363636363636364646e-01,1.109898041101748589e+01
6.464646464646465196e-01,1.096201006119594901e+01
6.565656565656565746e-01,1.081518724163204226e+01
6.666666666666667407e-01,1.065861823653030882e+01
6.767676767676767957e-01,1.049224310963115059e+01
6.868686868686869618e-01,1.031603144647556469e+01
6.969696969696970168e-01,1.013011753566765805e+01
7.070707070707071829e-01,9.934398521227411294e+00
7.171717171717172379e-01,9.728887912204953636e+00
7.272727272727272929e-01,9.513536608297954444e+00
7.373737373737374590e-01,9.288429890033473413e+00
7.474747474747475140e-01,9.053533279810181966e+00
7.575757575757576801e-01,8.808845988931704341e+00
7.676767676767677351e-01,8.554399927821791039e+00
7.777777777777777901e-01,8.290062972392647112e+00
7.878787878787879562e-01,8.016059815918120890e+00
7.979797979797980112e-01,7.732146664290631577e+00
8.080808080808081773e-01,7.438604538260269905e+00
8.181818181818182323e-01,7.135154099804655203e+00
8.282828282828283983e-01,6.821916216369706021e+00
8.383838383838384534e-01,6.498928668152068155e+00
8.484848484848485084e-01,6.166218062520843368e+00
8.585858585858586745e-01,5.823620840212853977e+00
8.686868686868687295e-01,5.471279194856307093e+00
8.787878787878788955e-01,5.109154117710536624e+00
8.888888888888889506e-01,4.737251885136069873e+00
8.989898989898991166e-01,4.355586097051012295e+00
9.090909090909091717e-01,3.964054568991336236e+00
9.191919191919192267e-01,3.562748340681982206e+00
9.292929292929293927e-01,3.151677603589792653e+00
9.393939393939394478e-01,2.730824952699844932e+00
9.494949494949496138e-01,2.300148080011210627e+00
9.595959595959596689e-01,1.859571461395074010e+00
9.696969696969697239e-01,1.409036613278243033e+00
9.797979797979798899e-01,9.488056535078136511e-01
9.898989898989899450e-01,4.801766851993125584e-01
1.000000000000000000e+00,-7.849853216408579160e-04
