# time, flux
8.000000000000000167e-03,5.760001466618118737e-01
1.600000000000000033e-02,1.005971784915026701e+00
2.400000000000000050e-02,1.363546637981035481e+00
3.200000000000000067e-02,1.720818988089811263e+00
4.000000000000000083e-02,2.041914360398267902e+00
4.800000000000000100e-02,2.344686843705159340e+00
5.600000000000000117e-02,2.620507334578254355e+00
6.400000000000000133e-02,2.878404734034502699e+00
7.200000000000000844e-02,3.114417866396987478e+00
8.000000000000001554e-02,3.334373307191190072e+00
8.800000000000002265e-02,3.536091057412251715e+00
9.600000000000002975e-02,3.723780707796509937e+00
1.040000000000000369e-01,3.896108450436099879e+00
1.120000000000000440e-01,4.056306194417204303e+00
1.200000000000000511e-01,4.203493718902373999e+00
1.280000000000000582e-01,4.340246558098207252e+00
1.360000000000000653e-01,4.465945907042487839e+00
1.440000000000000724e-01,4.582695856172294135e+00
1.520000000000000795e-01,4.690035691577510768e+00
1.600000000000000866e-01,4.789714911006508480e+00
1.680000000000000937e-01,4.881371782864418307e+00
1.760000000000001008e-01,4.966480252856634969e+00
1.840000000000001079e-01,5.044742299062072277e+00
1.920000000000001150e-01,5.117412573200828874e+00
2.000000000000001221e-01,5.184235097712825535e+00
2.080000000000001292e-01,5.246286849523191798e+00
2.160000000000001363e-01,5.303340327870633253e+00
2.240000000000001434e-01,5.356326551972839134e+00
2.320000000000001505e-01,5.405037897119162160e+00
2.400000000000001577e-01,5.450284160341458239e+00
2.480000000000001648e-01,5.491872105434610241e+00
2.560000000000001719e-01,5.530509951808470603e+00
2.640000000000001790e-01,5.566015344903711970e+00
2.720000000000001861e-01,5.599010755370644077e+00
2.800000000000001932e-01,5.629322475246135049e+00
2.880000000000002003e-01,5.657500130325784582e+00
2.960000000000002074e-01,5.683377244141191831e+00
3.040000000000002145e-01,5.707441217482240425e+00
3.120000000000002216e-01,5.729531918410136093e+00
3.200000000000002287e-01,5.750083331408373688e+00
3.280000000000002358e-01,5.768941120201390937e+00
3.360000000000002429e-01,5.786493207005138473e+00
3.440000000000002500e-01,5.802590716227306267e+00
3.520000000000002571e-01,5.817581680815875345e+00
3.600000000000002642e-01,5.831322483702855664e+00
3.680000000000002713e-01,5.844126473766612762e+00
3.760000000000002784e-01,5.855855170629215678e+00
3.840000000000002855e-01,5.866791644793696747e+00
3.920000000000002927e-01,5.876802477636450917e+00
4.000000000000002998e-01,5.886144201705677759e+00
4.080000000000003069e-01,5.894688411462738920e+00
4.160000000000003140e-01,5.902668284617194061e+00
4.240000000000003211e-01,5.909960394311132070e+00
4.320000000000003282e-01,5.916777276638015337e+00
4.400000000000003353e-01,5.923000457130862095e+00
4.480000000000003424e-01,5.928824144691875908e+00
4.560000000000003495e-01,5.934134796909091847e+00
4.640000000000003566e-01,5.939110269089201033e+00
4.720000000000003637e-01,5.943641937102362327e+00
4.800000000000003708e-01,5.947892982694669151e+00
4.880000000000003779e-01,5.951759695388887828e+00
4.960000000000003850e-01,5.955392008262681891e+00
5.040000000000003366e-01,5.958691133068642287e+00
5.120000000000003437e-01,5.961794954952905456e+00
5.200000000000003508e-01,5.964609634958042861e+00
5.280000000000003579e-01,5.967262011518425169e+00
5.360000000000003650e-01,5.969663246872966234e+00
5.440000000000003721e-01,5.971929953553535064e+00
5.520000000000003793e-01,5.973978379214985424e+00
5.600000000000003864e-01,5.975915565045532674e+00
5.680000000000003935e-01,5.977662969318015662e+00
5.760000000000004006e-01,5.979318559811478195e+00
5.840000000000004077e-01,5.980809181670312391e+00
5.920000000000004148e-01,5.982224075900253624e+00
6.000000000000004219e-01,5.983495713565776697e+00
6.080000000000004290e-01,5.984704805354605917e+00
6.160000000000004361e-01,5.985789763868197610e+00
6.240000000000004432e-01,5.986822812603576516e+00
6.320000000000004503e-01,5.987748714141236661e+00
6.400000000000004574e-01,5.988631086969657069e+00
6.480000000000004645e-01,5.989421564205784421e+00
6.560000000000004716e-01,5.990174868122104535e+00
6.640000000000004787e-01,5.990850158040661455e+00
6.720000000000004858e-01,5.991492777622355881e+00
6.800000000000004929e-01,5.992070230691243893e+00
6.880000000000005000e-01,5.992617784860576613e+00
6.960000000000005071e-01,5.993112302390141366e+00
7.040000000000005143e-01,5.993578031528959293e+00
7.120000000000005214e-01,5.994002442249209750e+00
7.200000000000005285e-01,5.994397535242820041e+00
7.280000000000005356e-01,5.994762920634181924e+00
7.360000000000005427e-01,5.995096789883128885e+00
7.440000000000005498e-01,5.995412766540361815e+00
7.520000000000005569e-01,5.995693277645234076e+00
7.600000000000005640e-01,5.995968243904239436e+00
7.680000000000005711e-01,5.996201905559789047e+00
7.760000000000005782e-01,5.996443258758453965e+00
7.840000000000005853e-01,5.996635377343279671e+00
7.920000000000005924e-01,5.996849707388977713e+00
8.000000000000005995e-01,5.997004509795053728e+00
8.080000000000006066e-01,5.997197774166336259e+00
8.160000000000006137e-01,5.997318501535754187e+00
8.240000000000006208e-01,5.997496186430475440e+00
8.320000000000006279e-01,5.997585160645448887e+00
8.400000000000006350e-01,5.997752432701859426e+00
8.480000000000006422e-01,5.997811096661256336e+00
