# position, velocity
0.000000000000000000e+00,-3.159024909113632216e-05
1.010101010101010187e-02,3.003352109818896443e-01
2.020202020202020374e-02,5.935426815942760337e-01
3.030303030303030387e-02,8.813903602958912398e-01
4.040404040404040747e-02,1.163051997980117935e+00
5.050505050505051108e-02,1.438508211709397244e+00
6.060606060606060774e-02,1.707805646360547547e+00
7.070707070707071829e-02,1.971008613648694174e+00
8.080808080808081495e-02,2.228080872221148923e+00
9.090909090909091161e-02,2.479043827103274644e+00
1.010101010101010222e-01,2.723856440296406500e+00
1.111111111111111188e-01,2.962607732189019849e+00
1.212121212121212155e-01,3.195160233911351177e+00
1.313131313131313260e-01,3.421663472915218662e+00
1.414141414141414366e-01,3.642011436886536835e+00
1.515151515151515194e-01,3.856241832908380296e+00
1.616161616161616299e-01,4.064333875802087270e+00
1.717171717171717404e-01,4.266367317660527902e+00
1.818181818181818232e-01,4.462214676703167626e+00
1.919191919191919338e-01,4.651991269284486918e+00
2.020202020202020443e-01,4.835578360729003933e+00
2.121212121212121271e-01,5.013108732541609491e+00
2.222222222222222376e-01,5.184468714214952811e+00
2.323232323232323482e-01,5.349763947921159613e+00
2.424242424242424310e-01,5.508890088649987860e+00
2.525252525252525415e-01,5.661948952053686313e+00
2.626262626262626521e-01,5.808809106316354942e+00
2.727272727272727626e-01,5.949574584294996527e+00
2.828282828282828731e-01,6.084253168995887862e+00
2.929292929292929282e-01,6.212823934617929922e+00
3.030303030303030387e-01,6.335214427335816190e+00
3.131313131313131493e-01,6.451526492092327203e+00
3.232323232323232598e-01,6.561686653486610510e+00
3.333333333333333703e-01,6.665726364145268867e+00
3.434343434343434809e-01,6.763662696098903915e+00
3.535353535353535914e-01,6.855478428301598370e+00
3.636363636363636465e-01,6.941136013745428990e+00
3.737373737373737570e-01,7.020742455063459175e+00
3.838383838383838675e-01,7.094139819930835422e+00
3.939393939393939781e-01,7.161488735319073484e+00
4.040404040404040886e-01,7.222668580424604912e+00
4.141414141414141992e-01,7.277722433649738143e+00
4.242424242424242542e-01,7.326731796437515598e+00
4.343434343434343647e-01,7.369580177613549665e+00
4.444444444444444753e-01,7.406332131437464383e+00
4.545454545454545858e-01,7.436899181429200922e+00
4.646464646464646964e-01,7.461380718739135887e+00
4.747474747474748069e-01,7.479726271484722133e+00
4.848484848484848619e-01,7.491994851628478003e+00
4.949494949494949725e-01,7.498016532467446815e+00
5.050505050505050830e-01,7.498047093715015876e+00
5.151515151515152491e-01,7.491920172861932237e+00
5.252525252525253041e-01,7.479651005229042582e+00
5.353535353535353591e-01,7.461341704811270681e+00
5.454545454545455252e-01,7.436829722932763787e+00
5.555555555555555802e-01,7.406224742428663355e+00
5.656565656565657463e-01,7.369475763229087484e+00
5.757575757575758013e-01,7.326650800469875158e+00
5.858585858585858563e-01,7.277709796825785560e+00
5.959595959595960224e-01,7.222608240364957410e+00
6.060606060606060774e-01,7.161333772706894862e+00
6.161616161616162435e-01,7.094009172289115206e+00
6.262626262626262985e-01,7.020558036449185302e+00
6.363636363636364646e-01,6.941032382860143457e+00
6.464646464646465196e-01,6.855365031172433454e+00
6.565656565656565746e-01,6.763537116561836982e+00
6.666666666666667407e-01,6.665611070378908209e+00
6.767676767676767957e-01,6.561552934754947941e+00
6.868686868686869618e-01,6.451343835224911949e+00
6.969696969696970168e-01,6.335067132638666720e+00
7.070707070707071829e-01,6.212657442477396152e+00
7.171717171717172379e-01,6.084125467533899823e+00
7.272727272727272929e-01,5.949441605583385417e+00
7.373737373737374590e-01,5.808653459387081774e+00
7.474747474747475140e-01,5.661745192830386131e+00
7.575757575757576801e-01,5.508715237764715944e+00
7.676767676767677351e-01,5.349582711626355014e+00
7.777777777777777901e-01,5.184264938867805483e+00
7.878787878787879562e-01,5.012902675325829449e+00
7.979797979797980112e-01,4.835345300792230461e+00
8.080808080808081773e-01,4.651765987396102808e+00
8.181818181818182323e-01,4.461992022815939762e+00
8.282828282828283983e-01,4.266098940917135707e+00
8.383838383838384534e-01,4.064108827844893135e+00
8.484848484848485084e-01,3.856040179631563092e+00
8.585858585858586745e-01,3.641790004442243323e+00
8.686868686868687295e-01,3.421447771044058506e+00
8.787878787878788955e-01,3.194988951633001228e+00
8.888888888888889506e-01,2.962419364388768628e+00
8.989898989898991166e-01,2.723747333376916657e+00
9.090909090909091717e-01,2.478908345895177057e+00
9.191919191919192267e-01,2.227955356090098427e+00
9.292929292929293927e-01,1.970892830898120618e+00
9.393939393939394478e-01,1.707710756799411866e+00
9.494949494949496138e-01,1.438407288639092396e+00
9.595959595959596689e-01,1.162956139628176011e+00
9.696969696969697239e-01,8.813123710452162030e-01
9.797979797979798899e-01,5.935063088660275099e-01
9.898989898989899450e-01,3.003350241968826273e-01
1.000000000000000000e+00,-7.807744116843597548e-05
