# time, flux
8.000000000000000167e-03,6.720001711054354177e-01
1.600000000000000033e-02,1.173633747574572395e+00
2.400000000000000050e-02,1.590804400580630107e+00
3.200000000000000067e-02,2.007622134888815246e+00
4.000000000000000083e-02,2.382233386104263495e+00
4.800000000000000100e-02,2.735467928776203816e+00
5.600000000000000117e-02,3.057258477127428709e+00
6.400000000000000133e-02,3.358138739382076299e+00
7.200000000000000844e-02,3.633487360237298791e+00
8.000000000000001554e-02,3.890101984145588609e+00
8.800000000000002265e-02,4.125439317391490057e+00
9.600000000000002975e-02,4.344410498037229118e+00
1.040000000000000369e-01,4.545459482406640994e+00
1.120000000000000440e-01,4.732356751127797523e+00
1.200000000000000511e-01,4.904075476683595447e+00
1.280000000000000582e-01,5.063620336265003630e+00
1.360000000000000653e-01,5.210269522244050044e+00
1.440000000000000724e-01,5.346477657927162674e+00
1.520000000000000795e-01,5.471707413107539608e+00
1.600000000000000866e-01,5.587999680215012255e+00
1.680000000000000937e-01,5.694932649493924082e+00
1.760000000000001008e-01,5.794225693119880560e+00
1.840000000000001079e-01,5.885531374005065430e+00
1.920000000000001150e-01,5.970313174462022587e+00
2.000000000000001221e-01,6.048272758233543378e+00
2.080000000000001292e-01,6.120666268610094107e+00
2.160000000000001363e-01,6.187228646761058215e+00
2.240000000000001434e-01,6.249045694133164908e+00
2.320000000000001505e-01,6.305875601940568842e+00
2.400000000000001577e-01,6.358662680212561646e+00
2.480000000000001648e-01,6.407181976716191052e+00
2.560000000000001719e-01,6.452259218999346402e+00
2.640000000000001790e-01,6.493682230991802307e+00
2.720000000000001861e-01,6.532176612459331899e+00
2.800000000000001932e-01,6.567540369800384248e+00
2.880000000000002003e-01,6.600414013967904836e+00
2.960000000000002074e-01,6.630604100427818004e+00
3.040000000000002145e-01,6.658678421422777660e+00
3.120000000000002216e-01,6.684451068887147684e+00
3.200000000000002287e-01,6.708427368234044508e+00
3.280000000000002358e-01,6.730428335569692777e+00
3.360000000000002429e-01,6.750905377684403241e+00
3.440000000000002500e-01,6.769686079462469586e+00
3.520000000000002571e-01,6.787175091130687399e+00
3.600000000000002642e-01,6.803206375192639932e+00
3.680000000000002713e-01,6.818143847859462703e+00
3.760000000000002784e-01,6.831827763482063887e+00
3.840000000000002855e-01,6.844586380952772942e+00
3.920000000000002927e-01,6.856266230097547876e+00
4.000000000000002998e-01,6.867164196566555745e+00
4.080000000000003069e-01,6.877133118398361944e+00
4.160000000000003140e-01,6.886442121176957087e+00
4.240000000000003211e-01,6.894950423756408320e+00
4.320000000000003282e-01,6.902902430586133953e+00
4.400000000000003353e-01,6.910163852590891942e+00
4.480000000000003424e-01,6.916956914029449344e+00
4.560000000000003495e-01,6.923153972785558885e+00
4.640000000000003566e-01,6.928957175107671951e+00
4.720000000000003637e-01,6.934245734490290580e+00
4.800000000000003708e-01,6.939203427175367977e+00
4.880000000000003779e-01,6.943716599530561417e+00
4.960000000000003850e-01,6.947952003167308099e+00
5.040000000000003366e-01,6.951803482823720515e+00
5.120000000000003437e-01,6.955421767699694335e+00
5.200000000000003508e-01,6.958708679483947002e+00
5.280000000000003579e-01,6.961799591809207044e+00
5.360000000000003650e-01,6.964604925915920397e+00
5.440000000000003721e-01,6.967245027263718526e+00
5.520000000000003793e-01,6.969639721533621213e+00
5.600000000000003864e-01,6.971894297333621537e+00
5.680000000000003935e-01,6.973939019246945037e+00
5.760000000000004006e-01,6.975863703818712125e+00
5.840000000000004077e-01,6.977610377065532887e+00
5.920000000000004148e-01,6.979252535506680566e+00
6.000000000000004219e-01,6.980745649696860511e+00
6.080000000000004290e-01,6.982145550753917185e+00
6.160000000000004361e-01,6.983423287505710064e+00
6.240000000000004432e-01,6.984615096202484885e+00
6.320000000000004503e-01,6.985710300377084181e+00
6.400000000000004574e-01,6.986722914514445826e+00
6.480000000000004645e-01,6.987663935652994596e+00
6.560000000000004716e-01,6.988521686179637982e+00
6.640000000000004787e-01,6.989333112128643499e+00
6.720000000000004858e-01,6.990056343736029021e+00
6.800000000000004929e-01,6.990759645991245996e+00
6.880000000000005000e-01,6.991365190953283459e+00
6.960000000000005071e-01,6.991979299316471774e+00
7.040000000000005143e-01,6.992480854504846022e+00
7.120000000000005214e-01,6.993022677225090966e+00
7.200000000000005285e-01,6.993431091266307575e+00
7.280000000000005356e-01,6.993915995865823021e+00
7.360000000000005427e-01,6.994239470423573302e+00
7.440000000000005498e-01,6.994681739905604267e+00
7.520000000000005569e-01,6.994925945986214977e+00
7.600000000000005640e-01,6.995339225017676910e+00
7.680000000000005711e-01,6.995507331781501748e+00
7.760000000000005782e-01,6.995905077775240066e+00
7.840000000000005853e-01,6.995997687450065783e+00
7.920000000000005924e-01,6.996393642120940726e+00
8.000000000000005995e-01,6.996408619919097127e+00
