# time, flux
8.000000000000000167e-03,8.640002199926676285e-01
1.600000000000000033e-02,1.508957671614368445e+00
2.400000000000000050e-02,2.045319916875188326e+00
3.200000000000000067e-02,2.581228412348137713e+00
4.000000000000000083e-02,3.062871407086658060e+00
4.800000000000000100e-02,3.517030046677607658e+00
5.600000000000000117e-02,3.930760687473827009e+00
6.400000000000000133e-02,4.317606635238904644e+00
7.200000000000000844e-02,4.671626199524118839e+00
8.000000000000001554e-02,5.001559125923852100e+00
8.800000000000002265e-02,5.304135580314115472e+00
9.600000000000002975e-02,5.585669731690647843e+00
1.040000000000000369e-01,5.844161144073119374e+00
1.120000000000000440e-01,6.084457345455451360e+00
1.200000000000000511e-01,6.305238409249271925e+00
1.280000000000000582e-01,6.510367165914798804e+00
1.360000000000000653e-01,6.698915956913499947e+00
1.440000000000000724e-01,6.874040295878508289e+00
1.520000000000000795e-01,7.035049820816190902e+00
1.600000000000000866e-01,7.184567988042857678e+00
1.680000000000000937e-01,7.322053087037920349e+00
1.760000000000001008e-01,7.449715057461798295e+00
1.840000000000001079e-01,7.567107953688436695e+00
1.920000000000001150e-01,7.676112560181628020e+00
2.000000000000001221e-01,7.776346227164104619e+00
2.080000000000001292e-01,7.869422979419288033e+00
2.160000000000001363e-01,7.955003149633635751e+00
2.240000000000001434e-01,8.034481534865097530e+00
2.320000000000001505e-01,8.107548599215464336e+00
2.400000000000001577e-01,8.175416957714366717e+00
2.480000000000001648e-01,8.237799040728987165e+00
2.560000000000001719e-01,8.295754672030312804e+00
2.640000000000001790e-01,8.349013075472107914e+00
2.720000000000001861e-01,8.398504926242731372e+00
2.800000000000001932e-01,8.443973004901403456e+00
2.880000000000002003e-01,8.486238060758948265e+00
2.960000000000002074e-01,8.525054461682470830e+00
3.040000000000002145e-01,8.561148784630011832e+00
3.120000000000002216e-01,8.594285857186966027e+00
3.200000000000002287e-01,8.625111063667269207e+00
3.280000000000002358e-01,8.653399136657442980e+00
3.360000000000002429e-01,8.679724989877055208e+00
3.440000000000002500e-01,8.703873114146601253e+00
3.520000000000002571e-01,8.726356802750029118e+00
3.600000000000002642e-01,8.746970472756144588e+00
3.680000000000002713e-01,8.766173062365414381e+00
3.760000000000002784e-01,8.783769356724572930e+00
3.840000000000002855e-01,8.800169828378997749e+00
3.920000000000002927e-01,8.815190346299742075e+00
4.000000000000002998e-01,8.829197574263783821e+00
4.080000000000003069e-01,8.842019490670628201e+00
4.160000000000003140e-01,8.853982459623779278e+00
4.240000000000003211e-01,8.864927975524917514e+00
4.320000000000003282e-01,8.875144492338737479e+00
4.400000000000003353e-01,8.884488917585269263e+00
4.480000000000003424e-01,8.893213034484725554e+00
4.560000000000003495e-01,8.901191706617492372e+00
4.640000000000003566e-01,8.908640039477699446e+00
4.720000000000003637e-01,8.915454254083510222e+00
4.800000000000003708e-01,8.921811351000970447e+00
4.880000000000003779e-01,8.927633455322235179e+00
4.960000000000003850e-01,8.933056345609230675e+00
5.040000000000003366e-01,8.938034127519321359e+00
5.120000000000003437e-01,8.942656159149878548e+00
5.200000000000003508e-01,8.946916647684181711e+00
5.280000000000003579e-01,8.950850701235774309e+00
5.360000000000003650e-01,8.954503482371466205e+00
5.440000000000003721e-01,8.957844630930482666e+00
5.520000000000003793e-01,8.960984773075180598e+00
5.600000000000003864e-01,8.963812439587352188e+00
5.680000000000003935e-01,8.966523117238823559e+00
5.760000000000004006e-01,8.968902762450332133e+00
5.840000000000004077e-01,8.971257663729359066e+00
5.920000000000004148e-01,8.973242017935582737e+00
6.000000000000004219e-01,8.975307622244940831e+00
6.080000000000004290e-01,8.976937450919496797e+00
6.160000000000004361e-01,8.978775266805472555e+00
6.240000000000004432e-01,8.980079631351705061e+00
6.320000000000004503e-01,8.981748491328707118e+00
6.400000000000004574e-01,8.982744428060474462e+00
6.480000000000004645e-01,8.984302945394443185e+00
6.560000000000004716e-01,8.984994432643794937e+00
6.640000000000004787e-01,8.986503731424054564e+00
6.720000000000004858e-01,8.986879737211623365e+00
6.800000000000004929e-01,8.988406563490443091e+00
6.880000000000005000e-01,8.988437849707906935e+00
