# position, velocity
0.000000000000000000e+00,-1.363348024062343384e-03
1.010101010101010187e-02,5.397315838893385065e-01
2.020202020202020374e-02,1.066803729738527551e+00
3.030303030303030387e-02,1.584438428175663827e+00
4.040404040404040747e-02,2.091207477441292095e+00
5.050505050505051108e-02,2.586728433936468008e+00
6.060606060606060774e-02,3.071059228845551381e+00
7.070707070707071829e-02,3.544374887511144934e+00
8.080808080808081495e-02,4.006659523361769004e+00
9.090909090909091161e-02,4.457966717780515786e+00
1.010101010101010222e-01,4.898214278151374224e+00
1.111111111111111188e-01,5.327556984919499250e+00
1.212121212121212155e-01,5.745742735357434405e+00
1.313131313131313260e-01,6.153044135623531474e+00
1.414141414141414366e-01,6.549266939639409202e+00
1.515151515151515194e-01,6.934487689504285512e+00
1.616161616161616299e-01,7.308663665017531841e+00
1.717171717171717404e-01,7.671941467919889845e+00
1.818181818181818232e-01,8.024092397199197535e+00
1.919191919191919338e-01,8.365324278165923388e+00
2.020202020202020443e-01,8.695420172877064147e+00
2.121212121212121271e-01,9.014623392727422413e+00
2.222222222222222376e-01,9.322729696990185388e+00
2.323232323232323482e-01,9.619925922451358247e+00
2.424242424242424310e-01,9.906031537565695544e+00
2.525252525252525415e-01,1.018121914783165494e+01
2.626262626262626521e-01,1.044526173997667051e+01
2.727272727272727626e-01,1.069834486425743947e+01
2.828282828282828731e-01,1.094048108195366531e+01
2.929292929292929282e-01,1.117163561401761740e+01
3.030303030303030387e-01,1.139167443115939271e+01
3.131313131313131493e-01,1.160078254822314392e+01
3.232323232323232598e-01,1.179883207163122982e+01
3.333333333333333703e-01,1.198587505777562434e+01
3.434343434343434809e-01,1.216194399591090303e+01
3.535353535353535914e-01,1.232700935993336699e+01
3.636363636363636465e-01,1.248099826382544109e+01
3.737373737373737570e-01,1.262411337320562055e+01
3.838383838383838675e-01,1.275606162899962470e+01
3.939393939393939781e-01,1.287713864253081297e+01
4.040404040404040886e-01,1.298712264294703189e+01
4.141414141414141992e-01,1.308609412740834976e+01
4.242424242424242542e-01,1.317419924790745256e+01
4.343434343434343647e-01,1.325122699123214964e+01
4.444444444444444753e-01,1.331729445647755128e+01
4.545454545454545858e-01,1.337224421082041559e+01
4.646464646464646964e-01,1.341625602293079211e+01
4.747474747474748069e-01,1.344923412810220142e+01
4.848484848484848619e-01,1.347128740679364967e+01
4.949494949494949725e-01,1.348211415549679160e+01
5.050505050505050830e-01,1.348216843889496630e+01
5.151515151515152491e-01,1.347115262229846877e+01
5.252525252525253041e-01,1.344909690006213410e+01
5.353535353535353591e-01,1.341618112170778332e+01
5.454545454545455252e-01,1.337211663541346596e+01
5.555555555555555802e-01,1.331709742400377472e+01
5.656565656565657463e-01,1.325103139777211680e+01
5.757575757575758013e-01,1.317404584692140190e+01
5.858585858585858563e-01,1.308606343815746698e+01
5.959595959595960224e-01,1.298700601802616106e+01
6.060606060606060774e-01,1.287685196720494574e+01
6.161616161616162435e-01,1.275581925073366563e+01
6.262626262626262985e-01,1.262377390793992937e+01
6.363636363636364646e-01,1.248080535773635091e+01
6.464646464646465196e-01,1.232679434033487098e+01
6.565656565656565746e-01,1.216170419303417560e+01
6.666666666666667407e-01,1.198565605092426445e+01
6.767676767676767957e-01,1.179858078988709202e+01
6.868686868686869618e-01,1.160044426182722965e+01
6.969696969696970168e-01,1.139139748180190814e+01
7.070707070707071829e-01,1.117132543963347757e+01
7.171717171717172379e-01,1.094024205224440749e+01
7.272727272727272929e-01,1.069809176001765927e+01
7.373737373737374590e-01,1.044497254470561032e+01
7.474747474747475140e-01,1.018084353522595009e+01
7.575757575757576801e-01,9.905703787458840281e+00
7.676767676767677351e-01,9.619589482358041010e+00
7.777777777777777901e-01,9.322352186154200027e+00
7.878787878787879562e-01,9.014244309818920442e+00
7.979797979797980112e-01,8.694990825082161479e+00
8.080808080808081773e-01,8.364908647716736922e+00
8.181818181818182323e-01,8.023682760321154461e+00
8.282828282828283983e-01,7.671449225263476279e+00
8.383838383838384534e-01,7.308250973097477399e+00
8.484848484848485084e-01,6.934116799379340002e+00
8.585858585858586745e-01,6.548863021562825182e+00
8.686868686868687295e-01,6.152648974965893913e+00
8.787878787878788955e-01,5.745430420056196752e+00
8.888888888888889506e-01,5.327213608839554304e+00
8.989898989898991166e-01,4.898014419201301983e+00
9.090909090909091717e-01,4.457718827199003364e+00
9.191919191919192267e-01,4.006431634038130518e+00
9.292929292929293927e-01,3.544162813047632810e+00
9.393939393939394478e-01,3.070888537973475163e+00
9.494949494949496138e-01,2.586542358028904864e+00
9.595959595959596689e-01,2.091030280183782342e+00
9.696969696969697239e-01,1.584303846862737730e+00
9.797979797979798899e-01,1.066729662350974994e+00
9.898989898989899450e-01,5.397419245382215625e-01
1.000000000000000000e+00,-1.447646104489635176e-03
