# position, velocity
0.000000000000000000e+00,-1.726071688146322458e+01
1.010101010101010187e-02,-1.729261814361835548e+01
2.020202020202020374e-02,-1.727686363909090161e+01
3.030303030303030387e-02,-1.721354017528410196e+01
4.040404040404040747e-02,-1.710788417753982316e+01
5.050505050505051108e-02,-1.696666492611783283e+01
6.060606060606060774e-02,-1.679362709711123358e+01
7.070707070707071829e-02,-1.659389504773812263e+01
8.080808080808081495e-02,-1.637210502107389942e+01
9.090909090909091161e-02,-1.613119059600348493e+01
1.010101010101010222e-01,-1.587564636877936941e+01
1.111111111111111188e-01,-1.560734520981161921e+01
1.212121212121212155e-01,-1.533000040516645335e+01
1.313131313131313260e-01,-1.504525945445409008e+01
1.414141414141414366e-01,-1.475549050360499770e+01
1.515151515151515194e-01,-1.446280001299176732e+01
1.616161616161616299e-01,-1.416837326776629169e+01
1.717171717171717404e-01,-1.387382034572295808e+01
1.818181818181818232e-01,-1.358060899279685074e+01
1.919191919191919338e-01,-1.328964065982130727e+01
2.020202020202020443e-01,-1.300237150187953361e+01
2.121212121212121271e-01,-1.271910605919443782e+01
2.222222222222222376e-01,-1.244127638698819283e+01
2.323232323232323482e-01,-1.216907023674598065e+01
2.424242424242424310e-01,-1.190350190476024572e+01
2.525252525252525415e-01,-1.164488892265752717e+01
2.626262626262626521e-01,-1.139406945221154643e+01
2.727272727272727626e-01,-1.115128980109600754e+01
2.828282828282828731e-01,-1.091687308299863446e+01
2.929292929292929282e-01,-1.069123176276378118e+01
3.030303030303030387e-01,-1.047491689928368608e+01
3.131313131313131493e-01,-1.026792124901091086e+01
3.232323232323232598e-01,-1.007082398511791865e+01
3.333333333333333703e-01,-9.883567581216718523e+00
3.434343434343434809e-01,-9.706456308994384941e+00
3.535353535353535914e-01,-9.539686776180024808e+00
3.636363636363636465e-01,-9.383477015100522678e+00
3.737373737373737570e-01,-9.237786379561573114e+00
3.838383838383838675e-01,-9.103049374855478604e+00
3.939393939393939781e-01,-8.979021116510065070e+00
4.040404040404040886e-01,-8.866053270921597118e+00
4.141414141414141992e-01,-8.764205610205772601e+00
4.242424242424242542e-01,-8.673393541440480803e+00
4.343434343434343647e-01,-8.593848731180202094e+00
4.444444444444444753e-01,-8.525476210783528686e+00
4.545454545454545858e-01,-8.468574833408821334e+00
4.646464646464646964e-01,-8.422936084412114610e+00
4.747474747474748069e-01,-8.388733832081371133e+00
4.848484848484848619e-01,-8.365780313213464936e+00
4.949494949494949725e-01,-8.354483641363550817e+00
5.050505050505050830e-01,-8.354469717248582228e+00
5.151515151515152491e-01,-8.365891571569338936e+00
5.252525252525253041e-01,-8.388805906317287509e+00
5.353535353535353591e-01,-8.422933183093878284e+00
5.454545454545455252e-01,-8.468597050219820233e+00
5.555555555555555802e-01,-8.525552264102158162e+00
5.656565656565657463e-01,-8.593858095789004281e+00
5.757575757575758013e-01,-8.673390681422283421e+00
5.858585858585858563e-01,-8.764055045123033238e+00
5.959595959595960224e-01,-8.865942338742904383e+00
6.060606060606060774e-01,-8.979067711184750777e+00
6.161616161616162435e-01,-9.103043969136979996e+00
6.262626262626262985e-01,-9.237877773767344536e+00
6.363636363636364646e-01,-9.383428581518060696e+00
6.464646464646465196e-01,-9.539640657761871978e+00
6.565656565656565746e-01,-9.706403018634704338e+00
6.666666666666667407e-01,-9.883495900188515648e+00
6.767676767676767957e-01,-1.007079249175077251e+01
6.868686868686869618e-01,-1.026802647425541792e+01
6.969696969696970168e-01,-1.047490723205349639e+01
7.070707070707071829e-01,-1.069121763017107440e+01
7.171717171717172379e-01,-1.091675295382784938e+01
7.272727272727272929e-01,-1.115114149837154933e+01
7.373737373737374590e-01,-1.139398354683263292e+01
7.474747474747475140e-01,-1.164491956040480503e+01
7.575757575757576801e-01,-1.190339829954486106e+01
7.676767676767677351e-01,-1.216902110308537566e+01
7.777777777777777901e-01,-1.244117680647806878e+01
7.878787878787879562e-01,-1.271916879870947348e+01
7.979797979797980112e-01,-1.300239943272139165e+01
8.080808080808081773e-01,-1.328970529820807833e+01
8.181818181818182323e-01,-1.358062908047841866e+01
8.282828282828283983e-01,-1.387383671735096335e+01
8.383838383838384534e-01,-1.416836994215259438e+01
8.484848484848485084e-01,-1.446260472094276750e+01
8.585858585858586745e-01,-1.475553927689901634e+01
8.686868686868687295e-01,-1.504536843468131124e+01
8.787878787878788955e-01,-1.532988809803044106e+01
8.888888888888889506e-01,-1.560756876143089933e+01
8.989898989898991166e-01,-1.587529637961484852e+01
9.090909090909091717e-01,-1.613136261665462712e+01
9.191919191919192267e-01,-1.637205245114492769e+01
9.292929292929293927e-01,-1.659397787995061080e+01
9.393939393939394478e-01,-1.679379352538083126e+01
9.494949494949496138e-01,-1.696636986391717983e+01
9.595959595959596689e-01,-1.710803939366187265e+01
9.696969696969697239e-01,-1.721339704853800967e+01
9.797979797979798899e-01,-1.727690830186562820e+01
9.898989898989899450e-01,-1.729250221706040236e+01
1.000000000000000000e+00,-1.726084192449427945e+01
