# time, flux
8.000000000000000167e-03,9.600002444363338050e-01
1.600000000000000033e-02,1.676619632994493569e+00
2.400000000000000050e-02,2.272577670571946928e+00
3.200000000000000067e-02,2.868031542829080127e+00
4.000000000000000083e-02,3.403190402140741533e+00
4.800000000000000100e-02,3.907811078476350009e+00
5.600000000000000117e-02,4.367511753832061139e+00
6.400000000000000133e-02,4.797340522454867973e+00
7.200000000000000844e-02,5.190695540473702074e+00
8.000000000000001554e-02,5.557287582849766316e+00
8.800000000000002265e-02,5.893483573062846759e+00
9.600000000000002975e-02,6.206299159525972442e+00
1.040000000000000369e-01,6.493511754592753427e+00
1.120000000000000440e-01,6.760507356138242940e+00
1.200000000000000511e-01,7.005819552233901959e+00
1.280000000000000582e-01,7.233740175094450109e+00
1.360000000000000653e-01,7.443238728305205498e+00
1.440000000000000724e-01,7.637821070333487228e+00
1.520000000000000795e-01,7.816720439294752687e+00
1.600000000000000866e-01,7.982851441559307482e+00
1.680000000000000937e-01,8.135612567865042166e+00
1.760000000000001008e-01,8.277458869413710119e+00
1.840000000000001079e-01,8.407895343999314264e+00
1.920000000000001150e-01,8.529011202103751188e+00
2.000000000000001221e-01,8.640381895856270589e+00
2.080000000000001292e-01,8.743800094993025240e+00
2.160000000000001363e-01,8.838889168867103407e+00
2.240000000000001434e-01,8.927198020441952764e+00
2.320000000000001505e-01,9.008383703597331760e+00
2.400000000000001577e-01,9.083792461872365109e+00
2.480000000000001648e-01,9.153106025556377645e+00
2.560000000000001719e-01,9.217500559363946522e+00
2.640000000000001790e-01,9.276676811889338126e+00
2.720000000000001861e-01,9.331667033168292491e+00
2.800000000000001932e-01,9.382187518158033868e+00
2.880000000000002003e-01,9.429147813928114630e+00
2.960000000000002074e-01,9.472277746871755610e+00
3.040000000000002145e-01,9.512381460557417512e+00
3.120000000000002216e-01,9.549201301235894945e+00
3.200000000000002287e-01,9.583450146133163372e+00
3.280000000000002358e-01,9.614882581113230131e+00
3.360000000000002429e-01,9.644131733731136080e+00
3.440000000000002500e-01,9.670964734754987191e+00
3.520000000000002571e-01,9.695944242645097688e+00
3.600000000000002642e-01,9.718850772646833391e+00
3.680000000000002713e-01,9.740183815795967703e+00
3.760000000000002784e-01,9.759738673217034588e+00
3.840000000000002855e-01,9.777957136961953566e+00
3.920000000000002927e-01,9.794651359593730788e+00
4.000000000000002998e-01,9.810209107766633352e+00
4.080000000000003069e-01,9.824462298206992017e+00
4.160000000000003140e-01,9.837746475761884213e+00
4.240000000000003211e-01,9.849917360564269586e+00
4.320000000000003282e-01,9.861258003448073239e+00
4.400000000000003353e-01,9.871653496197000166e+00
4.480000000000003424e-01,9.881331681159229774e+00
4.560000000000003495e-01,9.890214685223879698e+00
4.640000000000003566e-01,9.898469412130234346e+00
4.720000000000003637e-01,9.906065571212055332e+00
4.800000000000003708e-01,9.913099533768379601e+00
4.880000000000003779e-01,9.919603117214018440e+00
4.960000000000003850e-01,9.925587483234663111e+00
5.040000000000003366e-01,9.931166578452273797e+00
5.120000000000003437e-01,9.936244866037753809e+00
5.200000000000003508e-01,9.941046042386670223e+00
5.280000000000003579e-01,9.945337141232579725e+00
5.360000000000003650e-01,9.949489748843925341e+00
5.440000000000003721e-01,9.953090093024872687e+00
5.520000000000003793e-01,9.956710366503349618e+00
5.600000000000003864e-01,9.959695211482278765e+00
5.680000000000003935e-01,9.962890362120816690e+00
5.760000000000004006e-01,9.965314046462404818e+00
5.840000000000004077e-01,9.968186545568869406e+00
5.920000000000004148e-01,9.970081513675827622e+00
6.000000000000004219e-01,9.972733787235190661e+00
6.080000000000004290e-01,9.974107990782524524e+00
6.160000000000004361e-01,9.976647744390188421e+00
6.240000000000004432e-01,9.977479787497514963e+00
6.320000000000004503e-01,9.980026117281934006e+00
6.400000000000004574e-01,9.980257094381757454e+00
6.480000000000004645e-01,9.982947313648839582e+00
6.560000000000004716e-01,9.982467588785505441e+00
6.640000000000004787e-01,9.985464078774260344e+00
6.720000000000004858e-01,9.984092068339792903e+00
6.800000000000004929e-01,9.987586908573613087e+00
6.880000000000005000e-01,9.985034943583112721e+00
6.960000000000005071e-01,9.989246347891080902e+00
7.040000000000005143e-01,9.985065501777540931e+00
7.120000000000005214e-01,9.990211259320743054e+00
7.200000000000005285e-01,9.983702304024408392e+00
7.280000000000005356e-01,9.989914590990794707e+00
7.360000000000005427e-01,9.979985958757804809e+00
7.440000000000005498e-01,9.987082549032214374e+00
7.520000000000005569e-01,9.972025926620855074e+00
7.600000000000005640e-01,9.978933374755964536e+00
7.680000000000005711e-01,9.956066625633154032e+00
7.760000000000005782e-01,9.959404190769973297e+00
7.840000000000005853e-01,9.923995956512566607e+00
7.920000000000005924e-01,9.913792977669924511e+00
8.000000000000005995e-01,9.854584099589896340e+00
8.080000000000006066e-01,9.798240737197962957e+00
8.160000000000006137e-01,9.663120612245686303e+00
8.240000000000006208e-01,9.419460608036047233e+00
8.320000000000006279e-01,8.757519961063248815e+00
8.400000000000006350e-01,6.648373880203664044e+00
8.480000000000006422e-01,-1.225194540015758449e+01
