# pressure, flux
6.000000000000000000e+02,4.998726490842600789e+00
7.200000000000000000e+02,5.997811096661256336e+00
8.400000000000000000e+02,6.996408619919097127e+00
9.600000000000000000e+02,7.993229923564475925e+00
1.080000000000000000e+03,8.988437849707906935e+00
1.200000000000000000e+03,-1.225194540015758449e+01
